LEA Code,LEA Name,School Code,School Name,School Type,Ward,Accountability Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating,School Year
001,District of Columbia Public Schools,325,Thomas Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,31,95,33,2,2019
001,District of Columbia Public Schools,326,Thomson Elementary School,DCPS,2,Elementary School with Pre-Kindergarten,100,61,100,61,4,2019
001,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,64,61,100,61,4,2019
001,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,Middle School,36,79,100,79,4,2019
001,District of Columbia Public Schools,328,Tubman Elementary School,DCPS,1,Elementary School with Pre-Kindergarten,100,37,100,37,2,2019
001,District of Columbia Public Schools,329,Turner Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,31,95,32,2,2019
001,District of Columbia Public Schools,330,Tyler Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,72,95,75,4,2019
001,District of Columbia Public Schools,331,Van Ness Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,57,85,67,4,2019
001,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,Elementary School with Pre-Kindergarten,60,27,95,28,2,2019
001,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,Middle School,40,24,95,25,2,2019
001,District of Columbia Public Schools,333,Watkins Elementary School (Capitol Hill Cluster),DCPS,6,Elementary School without Pre-Kindergarten,100,66,95,70,4,2019
001,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,Elementary School with Pre-Kindergarten,56,21,95,22,2,2019
001,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,Middle School,44,38,95,40,3,2019
001,District of Columbia Public Schools,336,West Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,76,63,100,63,4,2019
001,District of Columbia Public Schools,336,West Education Campus,DCPS,4,Middle School,24,74,85,87,5,2019
001,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,56,65,100,65,4,2019
001,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,Middle School,44,87,95,92,5,2019
001,District of Columbia Public Schools,339,J.O. Wilson Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,48,95,51,3,2019
001,District of Columbia Public Schools,344,King Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,34,95,35,2,2019
001,District of Columbia Public Schools,347,Brookland Middle School,DCPS,5,Middle School,100,39,95,41,3,2019
001,District of Columbia Public Schools,349,Dorothy I. Height Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,60,100,60,4,2019
001,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,Elementary School with Pre-Kindergarten,59,50,80,62,4,2019
001,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,Middle School,41,60,85,70,4,2019
001,District of Columbia Public Schools,370,Langley Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,30,95,32,2,2019
001,District of Columbia Public Schools,402,Benjamin Banneker High School,DCPS,1,High School,100,84,85,99,5,2019
001,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,Elementary School with Pre-Kindergarten,58,21,100,21,2,2019
001,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,Middle School,42,37,95,39,2,2019
001,District of Columbia Public Schools,405,Deal Middle School,DCPS,3,Middle School,100,89,100,89,5,2019
001,District of Columbia Public Schools,407,Eliot-Hine Middle School,DCPS,6,Middle School,100,30,95,31,2,2019
001,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,Elementary School with Pre-Kindergarten,46,54,100,54,3,2019
001,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,Middle School,54,62,100,62,4,2019
001,District of Columbia Public Schools,413,Hart Middle School,DCPS,8,Middle School,100,42,95,44,3,2019
001,District of Columbia Public Schools,416,Johnson Middle School,DCPS,8,Middle School,100,24,95,26,2,2019
001,District of Columbia Public Schools,417,Kramer Middle School,DCPS,8,Middle School,100,2,95,2,1,2019
001,District of Columbia Public Schools,420,MacFarland Middle School,DCPS,4,Middle School,100,31,100,31,2,2019
001,District of Columbia Public Schools,421,Kelly Miller Middle School,DCPS,7,Middle School,100,25,95,26,2,2019
001,District of Columbia Public Schools,427,Sousa Middle School,DCPS,7,Middle School,100,31,95,32,2,2019
001,District of Columbia Public Schools,428,Stuart-Hobson Middle School (Capitol Hill Cluster),DCPS,6,Middle School,100,58,95,61,4,2019
001,District of Columbia Public Schools,433,Jefferson Middle School Academy,DCPS,6,Middle School,100,48,95,50,3,2019
001,District of Columbia Public Schools,435,McKinley Middle School,DCPS,5,Middle School,100,18,95,19,1,2019
001,District of Columbia Public Schools,436,Ron Brown College Preparatory High School,DCPS,7,High School,100,13,85,15,1,2019
001,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,High School,55,52,100,52,3,2019
001,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,Middle School,45,66,100,66,4,2019
001,District of Columbia Public Schools,450,Anacostia High School,DCPS,8,High School,100,4,95,4,1,2019
001,District of Columbia Public Schools,452,Ballou High School,DCPS,8,High School,100,5,95,5,1,2019
001,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,High School,66,15,100,15,1,2019
001,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,Middle School,34,19,100,19,1,2019
001,District of Columbia Public Schools,455,Coolidge High School,DCPS,4,High School,100,15,100,15,1,2019
001,District of Columbia Public Schools,456,Roosevelt STAY High School,DCPS (Alternative),4,Alternative Framework,100,14,81,17,1,2019
001,District of Columbia Public Schools,457,Eastern High School,DCPS,6,High School,100,24,95,25,2,2019
001,District of Columbia Public Schools,458,McKinley Technology High School,DCPS,5,High School,100,74,85,87,5,2019
001,District of Columbia Public Schools,459,Roosevelt High School,DCPS,4,High School,100,13,100,13,1,2019
001,District of Columbia Public Schools,463,Woodrow Wilson High School,DCPS,3,High School,100,72,100,72,4,2019
001,District of Columbia Public Schools,464,H.D. Woodson High School,DCPS,7,High School,100,17,95,18,1,2019
001,District of Columbia Public Schools,466,School Without Walls High School,DCPS,2,High School,100,83,85,98,5,2019
001,District of Columbia Public Schools,467,Dunbar High School,DCPS,5,High School,100,21,95,22,2,2019
001,District of Columbia Public Schools,471,Duke Ellington School of the Arts,DCPS,2,High School,100,70,95,74,4,2019
001,District of Columbia Public Schools,474,Washington Metropolitan High School,DCPS (Alternative),1,Alternative Framework,100,7,57,13,1,2019
001,District of Columbia Public Schools,478,"Phelps Architecture, Construction and Engineering High School",DCPS,5,High School,100,46,85,54,3,2019
107,Bridges PCS,142,Bridges PCS,Charter,5,Elementary School with Pre-Kindergarten,100,40,100,40,3,2019
108,Capital City PCS,1207,Capital City PCS - High School,Charter,4,High School,100,56,100,56,3,2019
108,Capital City PCS,182,Capital City PCS - Middle School,Charter,4,Middle School,100,62,100,62,4,2019
108,Capital City PCS,184,Capital City PCS - Lower School,Charter,4,Elementary School with Pre-Kindergarten,100,41,100,41,3,2019
109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,Charter,7,Middle School,100,36,95,38,2,2019
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,Charter,7,High School,100,38,95,40,2,2019
109,Cesar Chavez PCS for Public Policy,127,Cesar Chavez PCS for Public Policy - Chavez Prep,Charter,1,Middle School,100,28,100,28,2,2019
109,Cesar Chavez PCS for Public Policy,153,Cesar Chavez PCS for Public Policy - Capitol Hill,Charter,6,High School,100,29,95,31,2,2019
114,DC Bilingual PCS,199,DC Bilingual PCS,Charter,5,Elementary School with Pre-Kindergarten,100,80,100,80,4,2019
115,DC Prep PCS,1110,DC Prep PCS - Benning Elementary School,Charter,7,Elementary School with Pre-Kindergarten,100,65,95,69,4,2019
115,DC Prep PCS,130,DC Prep PCS - Edgewood Elementary School,Charter,5,Elementary School with Pre-Kindergarten,100,65,95,68,4,2019
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,Charter,5,Elementary School without Pre-Kindergarten,44,54,95,57,3,2019
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,Charter,5,Middle School,56,90,95,95,5,2019
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,Charter,7,Elementary School without Pre-Kindergarten,45,31,95,32,2,2019
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,Charter,7,Middle School,55,85,95,89,5,2019
116,E.L. Haynes PCS,1138,E.L. Haynes PCS - High School,Charter,4,High School,100,53,100,53,3,2019
116,E.L. Haynes PCS,1206,E.L. Haynes PCS - Elementary School,Charter,4,Elementary School with Pre-Kindergarten,100,68,100,68,4,2019
116,E.L. Haynes PCS,146,E.L. Haynes PCS - Middle School,Charter,1,Middle School,100,49,100,49,3,2019
117,Eagle Academy PCS,1125,Eagle Academy PCS - Capitol Riverfront,Charter,8,Elementary School with Pre-Kindergarten,100,38,80,47,3,2019
117,Eagle Academy PCS,195,Eagle Academy PCS - Congress Heights,Charter,8,Elementary School with Pre-Kindergarten,100,30,95,32,2,2019
118,Early Childhood Academy PCS,138,Early Childhood Academy PCS,Charter,8,Elementary School with Pre-Kindergarten,100,25,85,29,2,2019
120,Friendship PCS,1057,Friendship PCS - Southeast Middle School,Charter,8,Elementary School without Pre-Kindergarten,100,36,95,38,2,2019
120,Friendship PCS,1124,Friendship PCS - Technology Preparatory Middle School,Charter,8,Middle School,100,44,95,47,3,2019
120,Friendship PCS,113,Friendship PCS - Southeast Elementary School,Charter,8,Elementary School with Pre-Kindergarten,100,49,85,57,3,2019
120,Friendship PCS,1164,Friendship PCS - Technology Preparatory High School,Charter,8,High School,100,60,95,63,4,2019
120,Friendship PCS,186,Friendship PCS - Collegiate Academy,Charter,7,High School,100,42,95,45,3,2019
120,Friendship PCS,268,Friendship PCS - Online,Charter,4,Elementary School without Pre-Kindergarten,46,34,85,40,3,2019
120,Friendship PCS,268,Friendship PCS - Online,Charter,4,Middle School,54,66,95,69,4,2019
120,Friendship PCS,269,Friendship PCS - Armstrong,Charter,5,Elementary School with Pre-Kindergarten,100,32,95,34,2,2019
120,Friendship PCS,361,Friendship PCS - Blow Pierce Elementary School,Charter,7,Elementary School with Pre-Kindergarten,100,23,85,27,2,2019
120,Friendship PCS,362,Friendship PCS - Blow Pierce Middle School,Charter,7,Elementary School without Pre-Kindergarten,48,19,95,20,1,2019
