,Unnamed: 0_x,School_Code,STAR_Score_18,STAR_Rating_18,STAR_Score_19,STAR_Rating_19,STAR_Score_inc,STAR_Score_inc(%),STAR_Rating_inc,STAR_Rating_inc(%),Unnamed: 0_y,schoolname,level,schtype_raw_DC,Dist_Code,distname,pp_total_raw_DC_1819,pp_site_raw_DC_1819,pp_centshare_raw_DC_1819,schoolstloc_raw_DC_1819,enroll_raw_DC_1819,pp_total_raw_DC_1920,pp_site_raw_DC_1920,pp_centshare_raw_DC_1920,schoolstloc_raw_DC_1920,enroll_raw_DC_1920,pp_total_raw_DC_inc(%),pp_total_raw_DC_inc,pp_site_raw_DC_inc(%),pp_site_raw_DC_inc,pp_centshare_raw_DC_inc(%),pp_centshare_raw_DC_inc,schoolstloc_raw_DC_inc(%),schoolstloc_raw_DC_inc,enroll_raw_DC_inc(%),enroll_raw_DC_inc,diversity_Unnamed: 0,Ward,Total_Count_of_Students,diversity_At-Risk_(%),"diversity_Socieconomic_Diversity_Score,_2018-19_(%)","diversity_Socieconomic_Diversity_Score,_2016-17_(%)","diversity_Change_in_Socieconomic_Diversity_Score,_from_2016-17_to_2018-19_(percentage_points)",diversity_risk_level
40,47,199,64.96,4,80,4,-15.040000000000006,-0.188,0,0.0,27,DC Bilingual PCS,2.0,Charter,114,DC Bilingual PCS,21650.0,,,8695296.0,444.0,25385.0,,,10168491.0,453.0,-0.1471341343312979,-3735.0,,,,,-0.1448784288642237,-1473195.0,-0.0198675496688741,-9.0,46,5,445,27,27,37.07317113876343,-10.073171138763428,2
41,48,200,45.2,3,50,3,-4.799999999999997,-0.0959999999999999,0,0.0,182,Ingenuity Prep PCS,2.0,Charter,173,Ingenuity Prep PCS,22919.0,,,11750480.0,560.0,23992.0,,,14130571.0,637.0,-0.04472324108036,-1073.0,,,,,-0.1684355855117248,-2380091.0,-0.1208791208791209,-77.0,101,8,571,65,35,30.85106611251831,4.1489338874816895,4
42,49,202,43.85,3,11,1,32.85,2.9863636363636363,2,2.0,36,Aiton Elementary School,2.0,DCPS,1,District of Columbia Public Schools,20775.0,13900.0,6875.0,4349788.0,244.0,22344.0,16147.0,6198.0,4316480.0,224.0,-0.0702201933404941,-1569.0,-0.1391589768997336,-2247.0,0.1092287834785414,677.0,0.007716472681444,33308.0,0.0892857142857141,20.0,2,7,268,76,24,20.717132091522217,3.282867908477783,4
43,50,203,36.53,2,49,3,-12.47,-0.2544897959183673,-1,-0.3333333333333333,37,Amidon-Bowen Elementary School,2.0,DCPS,1,District of Columbia Public Schools,19992.0,13117.0,6875.0,5969451.0,339.0,21463.0,15265.0,6198.0,6332170.0,335.0,-0.0685365512742859,-1471.0,-0.1407140517523747,-2148.0,0.1092287834785414,677.0,-0.0572819428410797,-362719.0,0.0119402985074625,4.0,3,6,362,63,37,31.14285469055176,5.857145309448242,4
44,51,204,76.34,4,83,5,-6.659999999999997,-0.0802409638554216,-1,-0.1999999999999999,41,Bancroft Elementary School,2.0,DCPS,1,District of Columbia Public Schools,20840.0,13965.0,6875.0,10490067.0,567.0,20499.0,14301.0,6198.0,11166848.0,616.0,0.0166349578028195,341.0,-0.0234948604992657,-336.0,0.1092287834785414,677.0,-0.0606062695578913,-676781.0,-0.0795454545454545,-49.0,11,1,591,25,25,34.528303146362305,-9.528303146362305,2
45,52,205,66.46,4,73,4,-6.540000000000006,-0.0895890410958905,0,0.0,43,Barnard Elementary School,2.0,DCPS,1,District of Columbia Public Schools,21210.0,14335.0,6875.0,11617560.0,620.0,20881.0,14684.0,6198.0,11738466.0,646.0,0.015755950385518,329.0,-0.0237673658403704,-349.0,0.1092287834785414,677.0,-0.0102999829790365,-120906.0,-0.0402476780185758,-26.0,12,4,700,46,46,46.53312563896179,-0.533125638961792,3
46,53,206,35.32,2,39,2,-3.68,-0.0943589743589743,0,0.0,44,Beers Elementary School,2.0,DCPS,1,District of Columbia Public Schools,20598.0,13723.0,6875.0,8695398.0,489.0,21323.0,15125.0,6198.0,8969275.0,479.0,-0.0340008441588894,-725.0,-0.092694214876033,-1402.0,0.1092287834785414,677.0,-0.030535020946509,-273877.0,0.0208768267223382,10.0,14,7,524,55,45,43.53448152542114,1.4655184745788574,3
47,56,212,65.64,4,81,5,-15.36,-0.1896296296296296,-1,-0.1999999999999999,46,Brent Elementary School,2.0,DCPS,1,District of Columbia Public Schools,16933.0,10058.0,6875.0,6559056.0,432.0,16980.0,10782.0,6198.0,6637156.0,437.0,-0.0027679623085983,-47.0,-0.0671489519569653,-724.0,0.1092287834785414,677.0,-0.0117670881925933,-78100.0,-0.0114416475972539,-5.0,17,6,439,4,4,5.940592288970947,-1.9405922889709477,1
48,57,213,59.87,3,65,4,-5.130000000000003,-0.0789230769230769,-1,-0.25,47,Brightwood Education Campus,3.0,DCPS,1,District of Columbia Public Schools,20682.0,13807.0,6875.0,13943183.0,757.0,22850.0,16653.0,6198.0,14553043.0,713.0,-0.0948796498905908,-2168.0,-0.1709001381132529,-2846.0,0.1092287834785414,677.0,-0.0419060123714332,-609860.0,0.0617110799438991,44.0,19,4,835,36,36,46.35761380195618,-10.357613801956177,2
49,58,213,59.87,3,47,3,12.869999999999996,0.2738297872340425,0,0.0,47,Brightwood Education Campus,3.0,DCPS,1,District of Columbia Public Schools,20682.0,13807.0,6875.0,13943183.0,757.0,22850.0,16653.0,6198.0,14553043.0,713.0,-0.0948796498905908,-2168.0,-0.1709001381132529,-2846.0,0.1092287834785414,677.0,-0.0419060123714332,-609860.0,0.0617110799438991,44.0,19,4,835,36,36,46.35761380195618,-10.357613801956177,2
50,59,214,53.82,3,55,3,-1.1799999999999995,-0.0214545454545455,0,0.0,200,KIPP DC - Spring Academy PCS,2.0,Charter,129,KIPP DC PCS,17759.0,15331.0,2428.0,6412833.0,411.0,20408.0,16822.0,3586.0,7420896.0,409.0,-0.1298020384163073,-2649.0,-0.0886339317560337,-1491.0,-0.3229224762967094,-1158.0,-0.1358411437109481,-1008063.0,0.0048899755501221,2.0,126,5,422,54,46,45.07462978363037,0.9253702163696288,3
51,60,217,18.85,1,15,1,3.8500000000000014,0.2566666666666668,0,0.0,1,Achievement Preparatory Academy PCS - Wahler Place Elementary School,2.0,Charter,155,Achievement Preparatory Academy PCS,22085.0,18270.0,3815.0,7525500.0,375.0,19357.0,8764.0,10593.0,6333696.0,384.0,0.1409309293795526,2728.0,1.0846645367412142,9506.0,-0.6398565090153876,-6778.0,0.1881688038074451,1191804.0,-0.0234375,-9.0,0,8,379,67,33,45.04310488700867,-12.043104887008669,4
52,61,218,65.5,4,32,2,33.5,1.046875,2,1.0,30,DC Prep PCS - Benning Middle School,3.0,Charter,115,DC Prep PCS,18633.0,15179.0,3453.0,5767674.0,341.0,18701.0,15451.0,3250.0,5910444.0,342.0,-0.0036361691888134,-68.0,-0.017604038573555,-272.0,0.0624615384615385,203.0,-0.0241555456747412,-142770.0,-0.0029239766081871,-1.0,49,7,345,50,50,44.83985900878906,5.1601409912109375,3
53,62,218,65.5,4,89,5,-23.5,-0.2640449438202247,-1,-0.1999999999999999,30,DC Prep PCS - Benning Middle School,3.0,Charter,115,DC Prep PCS,18633.0,15179.0,3453.0,5767674.0,341.0,18701.0,15451.0,3250.0,5910444.0,342.0,-0.0036361691888134,-68.0,-0.017604038573555,-272.0,0.0624615384615385,203.0,-0.0241555456747412,-142770.0,-0.0029239766081871,-1.0,49,7,345,50,50,44.83985900878906,5.1601409912109375,3
54,63,219,49.18,3,35,2,14.18,0.405142857142857,1,0.5,51,Bunker Hill Elementary School,,DCPS,1,District of Columbia Public Schools,21933.0,15058.0,6875.0,4207177.0,221.0,22715.0,16518.0,6198.0,4593790.0,230.0,-0.0344265903587936,-782.0,-0.0883884247487589,-1460.0,0.1092287834785414,677.0,-0.0841599202401502,-386613.0,-0.0391304347826086,-9.0,24,5,259,45,45,45.64102292060852,-0.6410229206085205,3
55,64,220,58.66,3,62,4,-3.3400000000000034,-0.0538709677419355,-1,-0.25,53,Burroughs Elementary School,2.0,DCPS,1,District of Columbia Public Schools,23352.0,16477.0,6875.0,5698329.0,273.0,24377.0,18179.0,6198.0,6107835.0,285.0,-0.0420478319727611,-1025.0,-0.0936245117993288,-1702.0,0.1092287834785414,677.0,-0.0670460154866658,-409506.0,-0.0421052631578947,-12.0,25,5,301,45,45,42.41379499435425,2.586205005645752,3
