,state_x,year_x,distid_stateassigned_x,schoolid_stateassigned,distname_x,schoolname_x,ncesdistid_admin_x,ncesdistid_geo_x,census_id_x,ncesid_x,ncesenroll_x,gradespan_x,level_x,enroll_raw_DC_x,enrollmetric_x,pp_stloc_raw_DC_x,pp_fed_raw_DC_x,pp_total_raw_DC_x,pp_site_stloc_raw_DC_x,pp_site_fed_raw_DC_x,pp_site_raw_DC_x,pp_centshare_stloc_raw_DC_x,pp_centshare_fed_raw_DC_x,pp_centshare_raw_DC_x,schoolstloc_raw_DC_x,schoolfed_raw_DC_x,schooltot_raw_DC_x,pp_total_norm_NERDS_x,disttotwexclu_raw_DC_x,distexclu_raw_DC_x,schtype_raw_DC_x,ward_raw_DC_x,countenroll_x,noaudit_x,nositecen_x,adfinvars_x,distflex_x,flag_nerds_x,flag_f33_x,state_y,year_y,distid_stateassigned_y,distname_y,schoolname_y,ncesdistid_admin_y,ncesdistid_geo_y,census_id_y,ncesid_y,ncesenroll_y,gradespan_y,level_y,enroll_raw_DC_y,enrollmetric_y,pp_stloc_raw_DC_y,pp_fed_raw_DC_y,pp_total_raw_DC_y,pp_site_stloc_raw_DC_y,pp_site_fed_raw_DC_y,pp_site_raw_DC_y,pp_centshare_stloc_raw_DC_y,pp_centshare_fed_raw_DC_y,pp_centshare_raw_DC_y,schoolstloc_raw_DC_y,schoolfed_raw_DC_y,schooltot_raw_DC_y,pp_total_norm_NERDS_y,disttotwexclu_raw_DC_y,distexclu_raw_DC_y,schtype_raw_DC_y,ward_raw_DC_y,countenroll_y,noaudit_y,nositecen_y,adfinvars_y,distflex_y,flag_nerds_y,flag_f33_y
109,DC,2018-2019,1,287,District of Columbia Public Schools,Murch Elementary School,1100030.0,1100030.0,9200100130100.0,110003000001.0,601.0,PK-05,2.0,601,October Count Day,14965,1827,16791,9587,329,9916,5377,1498,6875,8993965,1098027,10091605,18884.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Murch Elementary School,1100030.0,1100030.0,9200100130100.0,110003000001.0,601.0,PK-05,2.0,601,October Count Day,14965,1827,16791,9587,329,9916,5377,1498,6875,8993965,1098027,10091605,18884.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0
110,DC,2018-2019,1,288,District of Columbia Public Schools,Nalle Elementary School,1100030.0,1100030.0,9200100130100.0,110003000163.0,370.0,PK-05,2.0,370,October Count Day,18039,2245,20284,12662,747,13409,5377,1498,6875,6674430,830650,7505137,22377.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Nalle Elementary School,1100030.0,1100030.0,9200100130100.0,110003000163.0,370.0,PK-05,2.0,370,October Count Day,18039,2245,20284,12662,747,13409,5377,1498,6875,6674430,830650,7505137,22377.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
111,DC,2018-2019,1,290,District of Columbia Public Schools,Noyes Elementary School,1100030.0,1100030.0,9200100130100.0,110003000164.0,224.0,PK-05,2.0,224,October Count Day,20785,2383,23168,15407,886,16293,5377,1498,6875,4655840,533792,5189702,25261.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Noyes Elementary School,1100030.0,1100030.0,9200100130100.0,110003000164.0,224.0,PK-05,2.0,224,October Count Day,20785,2383,23168,15407,886,16293,5377,1498,6875,4655840,533792,5189702,25261.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
112,DC,2018-2019,1,292,District of Columbia Public Schools,Oyster-Adams Bilingual School,1100030.0,1100030.0,9200100130100.0,110003000160.0,706.0,PK-08,3.0,706,October Count Day,17158,1797,18955,11781,299,12080,5377,1498,6875,12113548,1268682,13382163,21048.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Oyster-Adams Bilingual School,1100030.0,1100030.0,9200100130100.0,110003000160.0,706.0,PK-08,3.0,706,October Count Day,17158,1797,18955,11781,299,12080,5377,1498,6875,12113548,1268682,13382163,21048.95544,1004073502,4214636,DCPS,3,1,0,0,0,1,0,0
113,DC,2018-2019,1,294,District of Columbia Public Schools,Patterson Elementary School,1100030.0,1100030.0,9200100130100.0,110003000158.0,386.0,PK-05,2.0,386,October Count Day,19016,2995,22011,13639,1497,15136,5377,1498,6875,7340176,1156070,8496282,24104.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Patterson Elementary School,1100030.0,1100030.0,9200100130100.0,110003000158.0,386.0,PK-05,2.0,386,October Count Day,19016,2995,22011,13639,1497,15136,5377,1498,6875,7340176,1156070,8496282,24104.95544,1004073502,4214636,DCPS,8,1,0,0,0,1,0,0
114,DC,2018-2019,1,295,District of Columbia Public Schools,Payne Elementary School,1100030.0,1100030.0,9200100130100.0,110003000157.0,346.0,PK-05,2.0,346,October Count Day,19466,2389,21855,14088,892,14980,5377,1498,6875,6735236,826594,7561802,23948.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Payne Elementary School,1100030.0,1100030.0,9200100130100.0,110003000157.0,346.0,PK-05,2.0,346,October Count Day,19466,2389,21855,14088,892,14980,5377,1498,6875,6735236,826594,7561802,23948.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
115,DC,2018-2019,1,301,District of Columbia Public Schools,Peabody Elementary School (Capitol Hill Cluster),1100030.0,1100030.0,9200100130100.0,110003000156.0,226.0,PK-KG,1.0,226,October Count Day,16592,1935,18527,11215,438,11652,5377,1498,6875,3749792,437310,4187189,20620.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Peabody Elementary School (Capitol Hill Cluster),1100030.0,1100030.0,9200100130100.0,110003000156.0,226.0,PK-KG,1.0,226,October Count Day,16592,1935,18527,11215,438,11652,5377,1498,6875,3749792,437310,4187189,20620.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
116,DC,2018-2019,1,478,District of Columbia Public Schools,"Phelps Architecture, Construction and Engineering High School",1100030.0,1100030.0,9200100130100.0,110003000407.0,265.0,09-12,4.0,265,October Count Day,22284,2544,24828,16907,1047,17953,5377,1498,6875,5905260,674160,6579475,26921.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,"Phelps Architecture, Construction and Engineering High School",1100030.0,1100030.0,9200100130100.0,110003000407.0,265.0,09-12,4.0,265,October Count Day,22284,2544,24828,16907,1047,17953,5377,1498,6875,5905260,674160,6579475,26921.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
117,DC,2018-2019,1,299,District of Columbia Public Schools,Plummer Elementary School,1100030.0,1100030.0,9200100130100.0,110003000126.0,331.0,PK-05,2.0,331,October Count Day,18688,2422,21110,13310,925,14235,5377,1498,6875,6185728,801682,6987447,23203.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Plummer Elementary School,1100030.0,1100030.0,9200100130100.0,110003000126.0,331.0,PK-05,2.0,331,October Count Day,18688,2422,21110,13310,925,14235,5377,1498,6875,6185728,801682,6987447,23203.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
118,DC,2018-2019,1,300,District of Columbia Public Schools,Powell Elementary School,1100030.0,1100030.0,9200100130100.0,110003000125.0,535.0,PK-05,2.0,535,October Count Day,17408,2436,19845,12031,939,12970,5377,1498,6875,9313280,1303260,10616840,21938.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Powell Elementary School,1100030.0,1100030.0,9200100130100.0,110003000125.0,535.0,PK-05,2.0,535,October Count Day,17408,2436,19845,12031,939,12970,5377,1498,6875,9313280,1303260,10616840,21938.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
