,School_Code,STAR_Score_18,STAR_Rating_18,STAR_Score_19,STAR_Rating_19,STAR_Score_inc,STAR_Score_change,STAR_Rating_change
200,464,24.54,2,18,1,1,0.3633333333333333,1.0
201,466,98.56,5,98,5,0,0.005714285714285783,0.0
202,467,26.57,2,22,2,0,0.20772727272727276,0.0
203,471,72.66,4,74,4,0,-0.018108108108108145,0.0
204,474,24.88,2,13,1,1,0.9138461538461538,1.0
205,478,44.7,3,54,3,0,-0.17222222222222217,0.0
206,1100,33.69,2,10,1,1,2.3689999999999998,1.0
207,1100,33.69,2,33,2,0,0.020909090909090766,0.0
208,1103,73.76,4,60,4,0,0.2293333333333334,0.0
209,1103,73.76,4,96,5,-1,-0.23166666666666658,-0.19999999999999996
210,1104,37.42,2,29,2,0,0.29034482758620705,0.0
211,1104,37.42,2,39,2,0,-0.04051282051282046,0.0
212,1105,63.97,4,80,5,-1,-0.20037499999999997,-0.19999999999999996
213,1105,63.97,4,81,5,-1,-0.21024691358024694,-0.19999999999999996
214,1106,58.58,3,42,3,0,0.39476190476190465,0.0
215,1106,58.58,3,52,3,0,0.1265384615384615,0.0
216,1107,48.65,3,43,3,0,0.13139534883720927,0.0
217,1107,48.65,3,44,3,0,0.10568181818181821,0.0
218,1108,20.79,2,38,2,0,-0.45289473684210524,0.0
219,1108,20.79,2,32,2,0,-0.3503125,0.0
220,1110,63.92,4,69,4,0,-0.07362318840579707,0.0
221,1117,91.19,5,87,5,0,0.04816091954022994,0.0
222,1118,90.89,5,89,5,0,0.02123595505617981,0.0
223,1120,19.69,1,28,2,-1,-0.2967857142857142,-0.5
224,1121,74.74,4,84,5,-1,-0.11023809523809525,-0.19999999999999996
225,1123,57.18,3,69,4,-1,-0.17130434782608694,-0.25
226,1124,30.91,2,47,3,-1,-0.3423404255319149,-0.33333333333333337
227,1125,30.3,2,47,3,-1,-0.3553191489361702,-0.33333333333333337
228,1138,55.47,3,53,3,0,0.04660377358490564,0.0
229,1164,56.55,3,63,4,-1,-0.10238095238095246,-0.25
230,1206,68.38,4,68,4,0,0.005588235294117672,0.0
231,1207,61.74,4,56,3,1,0.10250000000000004,0.33333333333333326
232,3064,64.23,4,63,4,0,0.0195238095238095,0.0
233,3064,64.23,4,62,4,0,0.03596774193548402,0.0
234,3065,67.22,4,69,4,0,-0.025797101449275384,0.0
235,3066,54.23,3,25,2,1,1.1692,0.5
236,3067,50.0,3,46,3,0,0.08695652173913038,0.0
237,3068,88.42,5,98,5,0,-0.09775510204081628,0.0
238,3068,88.42,5,78,4,1,0.13358974358974351,0.25
239,3069,40.76,3,59,3,0,-0.30915254237288137,0.0
240,3069,40.76,3,54,3,0,-0.24518518518518517,0.0
241,3070,24.97,2,29,2,0,-0.1389655172413794,0.0
242,3070,24.97,2,42,3,-1,-0.40547619047619055,-0.33333333333333337
243,3071,66.23,4,59,3,1,0.12254237288135594,0.33333333333333326
