,Unnamed: 0_x,CODE,SCHOOL_x,TEST_TAKERS,AVG_READING_SCORE,AVG_MATH_SCORE,AVG_TOTAL,Unnamed: 0_y,SCHOOL_y,ETHNICITY,N_GRADS,GRAD_PERCENTAGE,YEAR,Unnamed: 0,state_x,year_x,distid_stateassigned_x,schoolid_stateassigned,distname_x,schoolname_x,ncesdistid_admin_x,ncesdistid_geo_x,census_id_x,ncesid_x,ncesenroll_x,gradespan_x,level_x,enroll_raw_DC_x,enrollmetric_x,pp_stloc_raw_DC_x,pp_fed_raw_DC_x,pp_total_raw_DC_x,pp_site_stloc_raw_DC_x,pp_site_fed_raw_DC_x,pp_site_raw_DC_x,pp_centshare_stloc_raw_DC_x,pp_centshare_fed_raw_DC_x,pp_centshare_raw_DC_x,schoolstloc_raw_DC_x,schoolfed_raw_DC_x,schooltot_raw_DC_x,pp_total_norm_NERDS_x,disttotwexclu_raw_DC_x,distexclu_raw_DC_x,schtype_raw_DC_x,ward_raw_DC_x,countenroll_x,noaudit_x,nositecen_x,adfinvars_x,distflex_x,flag_nerds_x,flag_f33_x,state_y,year_y,distid_stateassigned_y,distname_y,schoolname_y,ncesdistid_admin_y,ncesdistid_geo_y,census_id_y,ncesid_y,ncesenroll_y,gradespan_y,level_y,enroll_raw_DC_y,enrollmetric_y,pp_stloc_raw_DC_y,pp_fed_raw_DC_y,pp_total_raw_DC_y,pp_site_stloc_raw_DC_y,pp_site_fed_raw_DC_y,pp_site_raw_DC_y,pp_centshare_stloc_raw_DC_y,pp_centshare_fed_raw_DC_y,pp_centshare_raw_DC_y,schoolstloc_raw_DC_y,schoolfed_raw_DC_y,schooltot_raw_DC_y,pp_total_norm_NERDS_y,disttotwexclu_raw_DC_y,distexclu_raw_DC_y,schtype_raw_DC_y,ward_raw_DC_y,countenroll_y,noaudit_y,nositecen_y,adfinvars_y,distflex_y,flag_nerds_y,flag_f33_y
31,12,456,Roosevelt STAY,34,388,368,757.058837890625,62,Roosevelt STAY HS,All,20,0.1273885350318471,2021,124,DC,2018-2019,1,456,District of Columbia Public Schools,Roosevelt STAY High School,1100030.0,1100030.0,9200100130100.0,110003000264.0,426.0,09-12,4.0,648,October Count Day,12553,1690,14242,7175,192,7367,5377,1498,6875,8134344,1095120,9229129,16335.95544,1004073502,4214636,DCPS (Alternative),4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Roosevelt STAY High School,1100030.0,1100030.0,9200100130100.0,110003000264.0,426.0,09-12,4.0,648,October Count Day,12553,1690,14242,7175,192,7367,5377,1498,6875,8134344,1095120,9229129,16335.95544,1004073502,4214636,DCPS (Alternative),4,1,0,0,0,1,0,0
32,13,457,Eastern HS,28,450,416,866.0,73,Eastern HS,All,148,0.783068783068783,2019,67,DC,2018-2019,1,457,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
33,13,457,Eastern HS,28,450,416,866.0,71,Eastern HS,All,116,0.725,2021,67,DC,2018-2019,1,457,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
34,13,457,Eastern HS,296,415,398,813.3446044921875,73,Eastern HS,All,148,0.783068783068783,2019,67,DC,2018-2019,1,457,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
35,13,457,Eastern HS,296,415,398,813.3446044921875,71,Eastern HS,All,116,0.725,2021,67,DC,2018-2019,1,457,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Eastern High School,1100030.0,1100030.0,9200100130100.0,110003000078.0,744.0,09-12,4.0,744,October Count Day,17896,3166,21062,12519,1668,14187,5377,1498,6875,13314624,2355504,15669996,23155.95544,1004073502,4214636,DCPS,6,1,0,0,0,1,0,0
36,14,458,McKinley Technology HS,71,504,480,985.0,84,McKinley Technology HS,All,136,0.951048951048951,2019,106,DC,2018-2019,1,458,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
37,14,458,McKinley Technology HS,71,504,480,985.0,81,McKinley Technology HS,All,153,0.9935064935064936,2021,106,DC,2018-2019,1,458,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
38,14,458,McKinley Technology HS,270,504,500,1005.7036743164062,84,McKinley Technology HS,All,136,0.951048951048951,2019,106,DC,2018-2019,1,458,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
39,14,458,McKinley Technology HS,270,504,500,1005.7036743164062,81,McKinley Technology HS,All,153,0.9935064935064936,2021,106,DC,2018-2019,1,458,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,McKinley Technology High School,1100030.0,1100030.0,9200100130100.0,110003000267.0,633.0,09-12,4.0,633,October Count Day,16863,2934,19797,11485,1437,12922,5377,1498,6875,10674279,1857222,12531743,21890.95544,1004073502,4214636,DCPS,5,1,0,0,0,1,0,0
40,15,459,Roosevelt HS,38,424,404,828.0,95,Roosevelt HS,All,105,0.6402439024390244,2019,123,DC,2018-2019,1,459,District of Columbia Public Schools,Roosevelt High School,1100030.0,1100030.0,9200100130100.0,110003000008.0,645.0,09-12,4.0,645,October Count Day,21281,2608,23889,15904,1110,17014,5377,1498,6875,13726245,1682160,15408331,25982.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Roosevelt High School,1100030.0,1100030.0,9200100130100.0,110003000008.0,645.0,09-12,4.0,645,October Count Day,21281,2608,23889,15904,1110,17014,5377,1498,6875,13726245,1682160,15408331,25982.95544,1004073502,4214636,DCPS,4,1,0,0,0,1,0,0
