LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,STAR_Score,STAR_Rating,ObjectId
1,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,56.88,3,149
1,District of Columbia Public Schools,328,Tubman Elementary School,DCPS,1,63.62,4,150
1,District of Columbia Public Schools,329,Turner Elementary School,DCPS,8,45.33,3,151
1,District of Columbia Public Schools,330,Tyler Elementary School,DCPS,6,47.07,3,152
1,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,50.92,3,153
1,District of Columbia Public Schools,333,Watkins Elementary School (Capitol Hill Cluster),DCPS,6,73.94,4,9
1,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,42.16,3,13
1,District of Columbia Public Schools,336,West Education Campus,DCPS,4,55.27,3,12
1,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,45.39,3,16
1,District of Columbia Public Schools,339,J.O. Wilson Elementary School,DCPS,6,59.25,3,78
1,District of Columbia Public Schools,344,King Elementary School,DCPS,8,25.44,2,100
1,District of Columbia Public Schools,347,Brookland Middle School,DCPS,5,18.56,1,15
1,District of Columbia Public Schools,349,Dorothy I. Height Elementary School,DCPS,4,59.19,3,42
1,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,54.34,3,30
120,Friendship PCS,361,Friendship PCS - Blow Pierce Elementary School,Charter,7,36.54,2,57
120,Friendship PCS,362,Friendship PCS - Blow Pierce Middle School,Charter,7,50.93,3,59
120,Friendship PCS,363,Friendship PCS - Chamberlain Elementary School,Charter,6,53.06,3,61
120,Friendship PCS,364,Friendship PCS - Chamberlain Middle School,Charter,6,54.37,3,63
120,Friendship PCS,365,Friendship PCS - Woodridge Elementary School,Charter,5,59.92,3,75
120,Friendship PCS,366,Friendship PCS - Woodridge Middle School,Charter,5,73.58,4,77
1,District of Columbia Public Schools,370,Langley Elementary School,DCPS,5,14.26,1,104
1,District of Columbia Public Schools,402,Benjamin Banneker High School,DCPS,1,99.01,5,10
1,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,32.78,2,18
1,District of Columbia Public Schools,405,Deal Middle School,DCPS,3,88.22,5,39
1,District of Columbia Public Schools,407,Eliot-Hine Middle School,DCPS,6,7.43,1,56
1,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,58.29,3,135
1,District of Columbia Public Schools,413,Hart Middle School,DCPS,8,20.83,2,68
1,District of Columbia Public Schools,416,Johnson Middle School,DCPS,8,21.01,2,84
1,District of Columbia Public Schools,417,Kramer Middle School,DCPS,8,5.72,1,101
1,District of Columbia Public Schools,420,MacFarland Middle School,DCPS,4,55.13,3,110
1,District of Columbia Public Schools,421,Kelly Miller Middle School,DCPS,7,20.45,2,96
1,District of Columbia Public Schools,427,Sousa Middle School,DCPS,7,12.33,1,142
1,District of Columbia Public Schools,428,Stuart-Hobson Middle School (Capitol Hill Cluster),DCPS,6,53.53,3,145
1,District of Columbia Public Schools,433,Jefferson Middle School Academy,DCPS,6,46.49,3,82
1,District of Columbia Public Schools,435,McKinley Middle School,DCPS,5,26.23,2,115
1,District of Columbia Public Schools,436,Ron Brown College Preparatory High School,DCPS,7,29.57,2,130
1,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,58.59,3,35
1,District of Columbia Public Schools,450,Anacostia High School,DCPS,8,2.85,1,3
1,District of Columbia Public Schools,452,Ballou High School,DCPS,8,4.65,1,5
1,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,15.12,1,31
1,District of Columbia Public Schools,455,Coolidge High School,DCPS,4,13.24,1,38
1,District of Columbia Public Schools,456,Roosevelt STAY High School,DCPS (Alternative),4,21.15,2,132
1,District of Columbia Public Schools,457,Eastern High School,DCPS,6,31.67,2,52
1,District of Columbia Public Schools,458,McKinley Technology High School,DCPS,5,85.43,5,116
1,District of Columbia Public Schools,459,Roosevelt High School,DCPS,4,10.62,1,131
1,District of Columbia Public Schools,463,Woodrow Wilson High School,DCPS,3,74.46,4,17
1,District of Columbia Public Schools,464,H.D. Woodson High School,DCPS,7,24.54,2,64
1,District of Columbia Public Schools,466,School Without Walls High School,DCPS,2,98.56,5,136
